,race_ethnicity,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,age_number
49,White,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male,40.0
50,White,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male,40.0
51,Hispanic,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,20.0
52,White,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Female,50.0
53,American Native,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male,30.0
54,White,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
55,American Native,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Female,50.0
56,White,C Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male,20.0
57,White,C Felony,Violent,Robbery,Parole,4JD,Yes,Yes,Male,30.0
58,Black,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
59,Black,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
60,White,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male,30.0
61,White,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male,30.0
62,White,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male,30.0
63,White,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,No,Male,30.0
64,American Native,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,40.0
65,White,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,40.0
66,White,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,40.0
67,White,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,40.0
68,White,B Felony,Other,Other Criminal,Parole,4JD,Yes,Yes,Female,30.0
69,Black,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Male,40.0
70,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,50.0
71,Asian or Pacific Islander,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,30.0
72,Black,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,70.0
73,Hispanic,C Felony,Violent,Robbery,Parole,8JD,No,Yes,Male,40.0
74,White,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
75,White,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
76,White,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
77,White,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
78,White,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
79,White,B Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female,70.0
80,White,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Yes,Female,30.0
81,White,C Felony,Drug,Other Drug,Parole,1JD,No,Yes,Male,20.0
82,Black,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male,40.0
83,White,D Felony,Public Order,Weapons,Parole,1JD,No,Yes,Male,50.0
84,White,D Felony,Violent,Assault,Parole,1JD,No,Yes,Male,40.0
85,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
86,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
87,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
88,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
89,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
90,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
91,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
92,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
93,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
94,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
95,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
96,White,D Felony,Drug,Drug Possession,Parole,8JD,No,Yes,Female,30.0
97,White,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male,30.0
98,White,D Felony,Property,Theft,Parole,1JD,Yes,Yes,Female,70.0
99,White,D Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male,30.0
100,Black,B Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Yes,Male,30.0
101,White,D Felony,Property,Theft,Parole,1JD,No,Yes,Female,50.0
102,White,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,30.0
103,White,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,40.0
104,White,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,50.0
105,White,D Felony,Property,Burglary,Parole,8JD,No,Yes,Male,50.0
106,Black,D Felony,Property,Theft,Parole,7JD,No,Yes,Female,40.0
107,White,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Female,30.0
108,Asian or Pacific Islander,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
109,White,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,40.0
110,White,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,40.0
111,White,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,40.0
112,Hispanic,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
113,Hispanic,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Male,30.0
114,White,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,40.0
115,Black,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,30.0
116,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
117,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
118,Hispanic,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female,40.0
119,Black,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,70.0
120,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,40.0
121,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,40.0
122,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,40.0
123,Black,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,Yes,Male,50.0
124,Black,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,30.0
125,Black,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,30.0
126,Black,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,30.0
127,Hispanic,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male,30.0
128,White,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male,40.0
129,White,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male,40.0
130,Hispanic,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,70.0
131,White,D Felony,Drug,Other Drug,Parole,1JD,Yes,Yes,Male,20.0
132,White,Felony - Enhanced,Violent,Assault,Parole,8JD,No,Yes,Male,30.0
133,Hispanic,D Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,30.0
134,White,C Felony,Violent,Robbery,Parole,8JD,Yes,Yes,Male,50.0
135,Black,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,30.0
136,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,40.0
137,Black,C Felony,Property,Theft,Parole,4JD,Yes,Yes,Male,20.0
138,White,D Felony,Property,Vandalism,Parole,2JD,Yes,Yes,Male,20.0
139,Hispanic,D Felony,Public Order,OWI,Parole,2JD,No,Yes,Male,30.0
140,Hispanic,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male,30.0
141,White,D Felony,Violent,Assault,Parole,4JD,Yes,Yes,Male,20.0
142,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female,20.0
143,White,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,,No,No,Male,30.0
144,White,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,No,Male,50.0
145,Black,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,No,Male,30.0
146,Black,D Felony,Public Order,Weapons,Parole,7JD,No,Yes,Male,20.0
147,Black,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,No,Male,30.0
148,White,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male,40.0
149,Black,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male,30.0
150,Black,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,20.0
151,White,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Yes,Male,30.0
152,White,D Felony,Drug,Other Drug,Parole,3JD,Yes,Yes,Male,20.0
153,Black,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,Yes,Male,30.0
154,White,C Felony,Violent,Sex,Parole,2JD,No,Yes,Male,30.0
155,White,C Felony,Property,Arson,Parole,5JD,No,Yes,Male,30.0
156,Black,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Female,30.0
157,White,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,50.0
158,Black,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,50.0
159,Black,C Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male,40.0
160,Black,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male,30.0
161,Black,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,Yes,Yes,Male,50.0
162,Black,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male,50.0
163,White,D Felony,Public Order,OWI,Parole,4JD,Yes,Yes,Male,70.0
164,White,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,Yes,Male,40.0
165,White,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,Yes,Male,40.0
166,White,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male,20.0
167,White,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Female,40.0
168,White,C Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male,30.0
169,White,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,20.0
170,Black,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,Yes,Yes,Male,50.0
171,Black,C Felony,Property,Theft,Parole,8JD,No,Yes,Female,50.0
172,White,D Felony,Public Order,Weapons,Parole,3JD,No,Yes,Male,50.0
173,White,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,No,No,Male,50.0
174,White,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
175,White,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,No,Yes,Male,40.0
176,Black,D Felony,Drug,Drug Possession,Parole,7JD,No,Yes,Male,70.0
177,Hispanic,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
178,Hispanic,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
179,American Native,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male,30.0
180,White,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,Yes,Yes,Male,40.0
181,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,40.0
182,White,D Felony,Drug,Other Drug,Parole,5JD,No,Yes,Male,40.0
183,White,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male,50.0
184,White,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male,50.0
185,White,,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,70.0
186,White,,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,70.0
187,White,D Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male,30.0
188,White,Felony - Enhanced,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
189,White,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,No,Yes,Male,50.0
190,White,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male,40.0
191,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
192,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
193,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
194,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
195,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
196,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
197,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
198,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
199,White,D Felony,Drug,Other Drug,Parole,7JD,No,Yes,Male,30.0
200,White,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,No,Male,40.0
201,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
202,White,Aggravated Misdemeanor,Public Order,Weapons,Discharged – End of Sentence,,Yes,No,Male,20.0
203,Black,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female,30.0
204,Black,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female,30.0
205,Black,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female,30.0
206,American Native,D Felony,Property,Burglary,Parole,1JD,No,Yes,Female,40.0
207,White,Aggravated Misdemeanor,Public Order,Traffic,Parole,8JD,No,Yes,Male,50.0
208,White,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,70.0
209,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
210,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
211,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
212,White,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,40.0
213,White,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Yes,Male,30.0
214,White,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,Yes,Male,30.0
215,White,C Felony,Property,Arson,Parole,4JD,No,Yes,Male,20.0
216,American Native,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,30.0
217,White,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,40.0
218,Hispanic,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
219,White,C Felony,Property,Burglary,Parole,3JD,Yes,Yes,Male,20.0
220,Black,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male,40.0
221,Black,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male,40.0
222,Hispanic,D Felony,Public Order,OWI,Parole,3JD,Yes,Yes,Female,70.0
223,Hispanic,C Felony,Property,Burglary,Parole,5JD,No,Yes,Male,20.0
224,Hispanic,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
225,Hispanic,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
226,White,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,40.0
227,White,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,40.0
228,White,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,40.0
229,Hispanic,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male,30.0
230,Black,D Felony,Property,Theft,Parole,1JD,No,Yes,Male,40.0
231,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,40.0
232,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,40.0
233,White,B Felony,Violent,Sex,Parole,7JD,No,Yes,Male,50.0
234,White,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male,40.0
235,White,D Felony,Drug,Other Drug,Parole,6JD,Yes,Yes,Female,20.0
236,White,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,Yes,Male,30.0
237,White,C Felony,Property,Theft,Parole,7JD,No,Yes,Male,30.0
238,Black,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
239,White,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male,20.0
240,White,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
241,White,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
242,White,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
243,Black,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,40.0
244,Black,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,40.0
245,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,50.0
246,White,D Felony,Drug,Trafficking,Parole,3JD,No,Yes,Male,70.0
247,White,Aggravated Misdemeanor,Violent,Sex,Special Sentence,3JD,Yes,Yes,Male,20.0
248,White,C Felony,Violent,Murder/Manslaughter,Parole,3JD,No,Yes,Male,30.0
249,Black,D Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male,30.0
250,Black,C Felony,Violent,Assault,Parole,7JD,No,Yes,Male,30.0
251,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
252,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
253,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
254,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
255,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
256,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
257,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
258,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
259,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
260,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
261,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
262,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
263,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
264,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
265,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
266,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
267,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
268,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
269,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
270,White,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Yes,Female,30.0
271,White,C Felony,Property,Theft,Parole,1JD,No,Yes,Female,50.0
272,White,D Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
273,White,Felony - Enhanced,Public Order,Flight/Escape,Parole,1JD,Yes,Yes,Female,50.0
274,White,Aggravated Misdemeanor,Public Order,Alcohol,Parole,8JD,No,Yes,Male,30.0
275,White,D Felony,Violent,Assault,Parole,7JD,No,Yes,Male,50.0
276,Black,D Felony,Public Order,Flight/Escape,Parole,5JD,Yes,Yes,Male,40.0
277,White,C Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male,50.0
278,White,C Felony,Property,Theft,Parole,1JD,Yes,Yes,Male,40.0
279,Black,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,30.0
280,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
281,Black,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
282,Black,D Felony,Public Order,OWI,Parole,3JD,Yes,Yes,Male,30.0
283,White,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
284,White,C Felony,Property,Arson,Parole,4JD,No,Yes,Male,50.0
285,White,Felony - Enhanced,Violent,Murder/Manslaughter,Parole,2JD,No,Yes,Male,30.0
286,White,D Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,30.0
287,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,40.0
288,White,C Felony,Property,Theft,Parole,1JD,No,Yes,Male,30.0
289,White,C Felony,Property,Theft,Parole,1JD,No,Yes,Male,30.0
290,White,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,No,Male,30.0
291,White,Aggravated Misdemeanor,Property,Theft,Parole,2JD,Yes,Yes,Male,40.0
292,Black,D Felony,Drug,Drug Possession,Parole,3JD,Yes,Yes,Male,30.0
293,White,D Felony,Public Order,Traffic,Parole,5JD,No,Yes,Male,20.0
294,White,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male,20.0
295,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
296,White,C Felony,Drug,Other Drug,Parole,8JD,No,Yes,Male,40.0
297,White,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
298,White,Aggravated Misdemeanor,Drug,Drug Possession,Parole,3JD,No,Yes,Male,50.0
299,White,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,30.0
300,Black,D Felony,Drug,Other Drug,Parole,1JD,No,Yes,Male,40.0
301,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
302,Black,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,No,Yes,Male,30.0
303,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,20.0
304,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,20.0
305,White,C Felony,Property,Theft,Parole,5JD,No,Yes,Male,30.0
306,White,C Felony,Property,Theft,Parole,5JD,No,Yes,Male,30.0
307,Black,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
308,White,Aggravated Misdemeanor,Property,Theft,Parole,7JD,Yes,Yes,Male,20.0
309,Black,D Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male,30.0
310,White,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,No,Female,50.0
311,White,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,20.0
312,White,Aggravated Misdemeanor,Property,Theft,Parole,4JD,Yes,Yes,Male,20.0
313,White,D Felony,Violent,Assault,Parole,4JD,Yes,Yes,Male,20.0
