,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
25,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
26,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
27,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male
28,2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female
29,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male
30,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
31,2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
32,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Yes,Male
33,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
34,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
35,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
36,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
37,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
38,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
39,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
40,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
41,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
42,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
43,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Yes,Male
44,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male
45,2010,2013,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,1JD,No,Yes,Male
46,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,Yes,Male
47,2010,2013,Black - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
48,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male
49,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male
50,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male
51,2010,2013,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
52,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Female
53,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male
54,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
55,2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Female
56,2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male
57,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,Yes,Male
58,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
59,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
60,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
61,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
62,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
63,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,No,Male
64,2010,2013,American Indian or Alaska Native - Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
65,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
66,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
67,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
68,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,Yes,Female
69,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Male
70,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
71,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male
72,2010,2013,Black - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
73,2010,2013,White - Hispanic,35-44,C Felony,Violent,Robbery,Parole,8JD,No,Yes,Male
74,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
75,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
76,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
77,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
78,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
79,2010,2013,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female
80,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Yes,Female
81,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,Yes,Male
82,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male
83,2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,Yes,Male
84,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,1JD,No,Yes,Male
85,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
86,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
87,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
88,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
89,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
90,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
91,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
92,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
93,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
94,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
95,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
96,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,8JD,No,Yes,Female
97,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male
98,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Parole,1JD,Yes,Yes,Female
99,2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male
100,2010,2013,Black - Non-Hispanic,25-34,B Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Yes,Male
101,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,1JD,No,Yes,Female
102,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
103,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
104,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
105,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,8JD,No,Yes,Male
106,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,No,Yes,Female
107,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Female
108,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
109,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female
110,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female
111,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female
112,2010,2013,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
113,2010,2013,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Male
114,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
115,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
116,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
117,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
118,2010,2013,White - Hispanic,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female
119,2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
120,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
121,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
122,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
123,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,Yes,Male
124,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
125,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
126,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
127,2010,2013,White - Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male
128,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male
129,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male
130,2010,2013,White - Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
131,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,1JD,Yes,Yes,Male
132,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Violent,Assault,Parole,8JD,No,Yes,Male
133,2010,2013,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
134,2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,Yes,Male
135,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male
136,2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
137,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,4JD,Yes,Yes,Male
138,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,Yes,Male
139,2010,2013,White - Hispanic,25-34,D Felony,Public Order,OWI,Parole,2JD,No,Yes,Male
140,2010,2013,White - Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
141,2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,Yes,Male
142,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female
143,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,,No,No,Male
144,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,No,Male
145,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,No,Male
146,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Parole,7JD,No,Yes,Male
147,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,No,Male
148,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male
149,2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male
150,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
151,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Yes,Male
152,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,Yes,Male
153,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,Yes,Male
154,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,2JD,No,Yes,Male
155,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,5JD,No,Yes,Male
156,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Female
157,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
158,2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male
159,2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
160,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male
161,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,Yes,Yes,Male
162,2010,2013,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male
163,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,4JD,Yes,Yes,Male
164,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,Yes,Male
165,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,Yes,Male
166,2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male
167,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Female
168,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male
169,2010,2013,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
170,2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,Yes,Yes,Male
171,2010,2013,Black - Non-Hispanic,45-54,C Felony,Property,Theft,Parole,8JD,No,Yes,Female
172,2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,3JD,No,Yes,Male
173,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,No,No,Male
174,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
175,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,No,Yes,Male
176,2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Drug Possession,Parole,7JD,No,Yes,Male
177,2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
178,2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
179,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male
180,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,Yes,Yes,Male
181,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
182,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Other Drug,Parole,5JD,No,Yes,Male
183,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male
184,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male
185,2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male
186,2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male
187,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male
188,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
189,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,No,Yes,Male
190,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male
191,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
192,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
193,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
194,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
195,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
196,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
197,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
198,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
199,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Parole,7JD,No,Yes,Male
200,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,No,Male
201,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
202,2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Weapons,Discharged – End of Sentence,,Yes,No,Male
203,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female
204,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female
205,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female
206,2010,2013,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,1JD,No,Yes,Female
207,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,8JD,No,Yes,Male
208,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
209,2010,2013,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
210,2010,2013,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
211,2010,2013,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
212,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
213,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Yes,Male
214,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,Yes,Male
215,2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Arson,Parole,4JD,No,Yes,Male
216,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
217,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
218,2010,2013,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male
219,2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,3JD,Yes,Yes,Male
220,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male
221,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male
222,2010,2013,White - Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,3JD,Yes,Yes,Female
223,2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Parole,5JD,No,Yes,Male
224,2010,2013,White - Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
225,2010,2013,White - Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
226,2010,2013,White - Non-Hispanic,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
227,2010,2013,White - Non-Hispanic,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
228,2010,2013,White - Non-Hispanic,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
229,2010,2013,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male
230,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,1JD,No,Yes,Male
231,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male
232,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male
233,2010,2013,White - Non-Hispanic,45-54,B Felony,Violent,Sex,Parole,7JD,No,Yes,Male
234,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male
235,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,6JD,Yes,Yes,Female
